"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1,J3,J4";"USB_C_Receptacle_Amphenol_12401548E4-2A_CircularHoles";3;"USB_C_Receptacle";;;
2;"R2,R7,R4,R1,R5,R3";"R_0815_2038Metric";6;"R";;;
3;"M4,M1,M2,M3";"FanPinHeader_1x03_P2.54mm_Vertical";4;"Fan_PC_Chassis";;;
4;"J2";"RJ45_Amphenol_54602-x08_Horizontal";1;"RJ45";;;
5;"U2";"QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm";1;"LAN9512i";;;
6;"SW1";"SW_CK_JS202011CQN_DPDT_Straight";1;"SW_DPDT_x2";;;
